Birth_Place,WS,latitude,longitude
Alabama,1291.3,32.318231,-86.902298
Alaska,28.5,63.588753000000004,-154.493062
Argentina,93.2,-38.416097,-63.616671999999994
Arizona,100.60000000000001,34.048928000000004,-111.093731
Arkansas,714.4000000000002,35.20105,-91.83183299999999
Australia,169.89999999999995,-25.274398,133.775136
Austria,16.299999999999994,47.516231,14.550072
Bahamas,71.1,25.03428,-77.39628
Belgium,111.8,50.503887,4.469936
Bosnia and Herzegovina,8.799999999999999,43.915886,17.679076000000002
Brazil,73.09999999999998,-14.235004,-51.92528
Bulgaria,-0.5,42.733883,25.48583
California,4644.800000000005,36.778261,-119.41793200000001
Cameroon,44.0,7.369722,12.354722
Canada,287.2,56.130366,-106.34677099999999
China,70.9,35.86166,104.195397
Colorado,154.79999999999998,39.550051,-105.782067
Connecticut,412.7000000000001,41.603221000000005,-73.087749
Croatia,4.1,45.1,15.2
Cuba,0.3,21.521757,-77.78116700000001
Delaware,36.8,38.910832,-75.52767
Denmark,0.6,56.26392,9.501785
District of Columbia,700.9000000000001,38.905985,-77.03341800000001
Dominican Republic,90.6,18.735692999999998,-70.162651
Egypt,2.5,26.820553000000004,30.802497999999996
Florida,1800.8000000000002,27.664827000000002,-81.515754
France,340.3,46.227638,2.213749
French Guiana,-0.1,3.9338889999999997,-53.125781999999994
Georgia,1722.9999999999998,42.315407,43.356891999999995
Georgia,1722.9999999999998,32.157435,-82.907123
Germany,521.2,51.165690999999995,10.451526
Greece,65.10000000000001,39.074208,21.824312
Guadeloupe,4.800000000000002,16.995971,-62.067641
Guyana,0.2,4.860416000000001,-58.93018000000001
Haiti,88.0,18.971187,-72.28521500000001
Hawaii,33.7,19.898682,-155.66585700000002
Idaho,51.1,44.068202,-114.74204099999999
Illinois,2535.0000000000005,40.633125,-89.398528
Indiana,1266.1,40.551217,-85.602364
Iowa,228.39999999999998,41.878003,-93.097702
Ireland,-0.09999999999999998,53.41291,-8.243889999999999
Israel,18.5,31.046051000000002,34.851612
Italy,118.60000000000001,41.87194,12.56738
Jamaica,133.99999999999997,18.109581,-77.297508
Japan,0.0,36.204824,138.252924
Kansas,266.7,39.011902,-98.484246
Kentucky,477.20000000000016,37.839333,-84.27001800000001
Lebanon,81.19999999999999,33.854721000000005,35.862285
Lithuania,144.2,55.169438,23.881275
Louisiana,1851.5000000000002,31.244822999999997,-92.14502399999999
Luxembourg,0.1,49.815273,6.129583
Maine,8.9,45.253783,-69.44546899999999
Mali,6.600000000000001,17.570692,-3.9961660000000006
Martinique,18.5,14.641528,-61.024174
Maryland,653.3999999999999,39.045755,-76.641271
Massachusetts,281.2999999999999,42.407211,-71.382437
Mexico,-0.1,23.634501,-102.552784
Michigan,1528.8000000000004,44.314844,-85.602364
Minnesota,343.9,46.729553,-94.6859
Mississippi,962.3999999999997,32.354668,-89.398528
Missouri,283.0,37.964253,-91.83183299999999
Montana,18.799999999999997,46.879682,-110.36256599999999
Montenegro,5.7,42.708678000000006,19.37439
Morocco,2.5,31.791702,-7.09262
Nebraska,38.2,41.492537,-99.901813
Netherlands,121.0,52.132633,5.291266
Nevada,75.5,38.802609999999994,-116.419389
New Hampshire,38.6,43.193852,-71.572395
New Jersey,1141.6,40.058324,-74.405661
New Mexico,-0.09999999999999998,34.97273,-105.03236299999999
New York,3443.800000000001,43.299428000000006,-74.217933
New Zealand,67.0,-40.900557,174.88597099999998
Nigeria,172.5,9.081999,8.675277000000001
North Carolina,1467.4,35.759572999999996,-79.0193
North Dakota,34.2,47.551493,-101.002012
Norway,0.0,60.472024,8.468946
Ohio,1608.6000000000001,40.417287,-82.907123
Oklahoma,375.09999999999997,35.007752,-97.092877
Oregon,320.1,43.804133,-120.554201
Panama,80.8,8.537981,-80.782127
Pennsylvania,1508.0000000000002,41.203322,-77.194525
Poland,54.99999999999999,51.919438,19.145135999999997
Puerto Rico,16.3,18.220833,-66.590149
Rhode Island,57.199999999999996,41.580095,-71.477429
Romania,24.9,45.943160999999996,24.96676
Russia,93.5,61.52401,105.31875600000001
Saint Vincent and the Grenadines,18.4,12.984305,-61.287228000000006
Senegal,35.5,14.497401000000002,-14.452361999999999
Serbia,17.2,44.016521000000004,21.005859
Slovenia,28.0,46.151241,14.995463
South Carolina,700.5,33.836081,-81.163725
South Dakota,65.49999999999999,43.969515,-99.901813
Spain,252.8,40.463667,-3.7492199999999998
Sweden,22.2,60.128161,18.643501
Switzerland,69.2,46.818188,8.227511999999999
Taiwan,0.4,23.69781,120.96051499999999
Tennessee,297.29999999999995,35.517491,-86.58044699999999
Texas,1479.5,31.968598999999998,-99.901813
Trinidad and Tobago,9.2,10.691803,-61.222503
Tunisia,8.1,33.886917,9.537499
Turkey,56.4,38.963745,35.243322
U.S. Virgin Islands,28.5,18.335765,-64.896335
Ukraine,39.0,48.379433,31.16558
United Kingdom,106.29999999999998,55.378051,-3.435973
Uruguay,0.30000000000000004,-32.522779,-55.765834999999996
Utah,237.79999999999998,39.32098,-111.093731
Virginia,1006.8,37.431573,-78.656894
Washington,779.1999999999998,47.751073999999996,-120.74013899999999
West Virginia,83.19999999999999,38.597626,-80.454903
Wisconsin,438.4000000000001,43.784440000000004,-88.787868
Wyoming,23.099999999999998,43.075967999999996,-107.29028400000001
